"","species","labels"
"278","Calyptranthes karwinskyana","LC"
"279","Calyptranthes lanceolata","LC"
"280","Calyptranthes lindeniana","LC"
"281","Calyptranthes lucida","LC"
"282","Calyptranthes macrantha","EN"
"283","Calyptranthes macrophylla","LC"
"284","Calyptranthes mayana","EN"
"285","Calyptranthes megistophylla","LC"
"286","Calyptranthes millspaughii","LC"
"287","Calyptranthes obovata","LC"
"288","Calyptranthes ovalifolia","EN"
"289","Calyptranthes pallens","LC"
"290","Calyptranthes paniculata","LC"
"291","Calyptranthes paxillata","LC"
"292","Calyptranthes perlaevigata","EN"
"293","Calyptranthes pileata","LC"
"294","Calyptranthes rubella","LC"
"295","Calyptranthes salamensis","LC"
"296","Calyptranthes schiedeana","LC"
"297","Calyptranthes speciosa","LC"
"298","Calyptranthes tonii","EN"
"299","Calyptranthes tricona","LC"
"300","Cameraria latifolia","LC"
"301","Campomanesia eugenioides","LC"
"302","Campomanesia guaviroba","LC"
"303","Campomanesia schlechtendaliana","LC"
"304","Campomanesia sessiliflora","LC"
"305","Campomanesia xanthocarpa","LC"
"306","Capparicordis tweediana","LC"
"307","Capparidastrum solum","LC"
"308","Capparis heydeana","LC"
"309","Carapichea dolichophylla","LC"
"310","Carapichea pacimonica","LC"
"311","Carica papaya","LC"
"312","Cariniana domestica","LC"
"313","Cariniana estrellensis","LC"
"314","Caryocar dentatum","LC"
"315","Casearia bartlettii","LC"
"316","Casearia cotticensis","LC"
"317","Casearia decandra","LC"
"318","Casearia duckeana","LC"
"319","Casearia emarginata","LC"
"320","Casearia gossypiosperma","LC"
"321","Casearia lasiophylla","LC"
"322","Casearia tenuipilosa","LC"
"323","Casimiroa sapota","LC"
"324","Castela tweediei","LC"
"325","Cavanillesia umbellata","LC"
"326","Cavendishia callista","LC"
"327","Cecropia pachystachya","LC"
"328","Ceiba pubiflora","LC"
"329","Ceiba samauma","LC"
"330","Ceiba speciosa","LC"
"331","Celtis trinervia","LC"
"332","Cenostigma gaumeri","LC"
"333","Cenostigma marginatum","LC"
"334","Cenostigma pluviosum","LC"
"335","Centrolobium robustum","LC"
"336","Centrolobium tomentosum","LC"
"337","Cereus pierrebraunianus","EN"
"338","Cereus uruguayanus","LC"
"339","Cestrum euanthes","LC"
"340","Cestrum obovatum","LC"
"341","Cestrum pedicellatum","LC"
"342","Cestrum reflexum","LC"
"343","Cestrum retrofractum","LC"
"344","Cestrum strictum","EN"
"345","Cestrum velutinum","LC"
"346","Chamaecrista chaetostegia","EN"
"347","Chamaecrista dumalis","LC"
"348","Chamaecrista pachyclada","EN"
"349","Chamaecrista spinulosa","EN"
"350","Chamaedorea arenbergiana","LC"
"351","Chamaedorea sartorii","LC"
"352","Chamaedorea tepejilote","LC"
"353","Chamaedorea woodsoniana","LC"
"354","Chamguava gentlei","LC"
"355","Chimarrhis barbata","LC"
"356","Chiococca semipilosa","LC"
"357","Chionanthus crassifolius","LC"
"358","Chionanthus ligustrinus","LC"
"359","Chionanthus trichotomus","LC"
"360","Chione venosa","LC"
"361","Chloroleucon foliolosum","LC"
"362","Chomelia kirkbridei","EN"
"363","Chomelia martiana","LC"
"364","Chomelia obtusa","LC"
"365","Chomelia protracta","LC"
"366","Chronopappus bifrons","LC"
"367","Chrysophyllum cainito","LC"
"368","Citharexylum donnell","LC"
"369","Citharexylum glaziovii","LC"
"370","Citharexylum hexangulare","LC"
"371","Citharexylum myrianthum","LC"
"372","Citronella engleriana","LC"
"373","Citronella paniculata","LC"
"374","Clavija nutans","LC"
"375","Clethra lanata","LC"
"376","Clethra occidentalis","LC"
"377","Clethra uleana","LC"
"378","Clusia belizensis","LC"
"379","Clusia criuva","LC"
"380","Clusia gardneri","LC"
"381","Clusia guatemalensis","LC"
"382","Clusia lundellii","LC"
"383","Clusia lusoria","LC"
"384","Clusia spathulifolia","LC"
"385","Clusia tetra","LC"
"386","Cnidoscolus froesii","LC"
"387","Cnidoscolus paucistamineus","EN"
"388","Cnidoscolus vitifolius","LC"
"389","Coccoloba argentinensis","LC"
"390","Coccoloba caracasana","LC"
"391","Coccoloba chiapensis","EN"
"392","Coccoloba cordata","LC"
"393","Coccoloba cujabensis","LC"
