"","species","labels"
"7497","Tachigali rubiginosa","LC"
"7499","Andira fraxinifolia","LC"
"7500","Cassia ferruginea","LC"
"7501","Cenostigma macrophyllum","LC"
"7503","Aiouea saligna","LC"
"7504","Alseis pickelii","LC"
"7505","Bauhinia bombaciflora","LC"
"7506","Brasiliocroton mamoninha","LC"
"7507","Chamaecrista xinguensis","NT"
"7510","Cenostigma tocantinum","LC"
"7514","Swartzia parvipetala","LC"
"7516","Metrodorea nigra","LC"
"7517","Martiodendron mediterraneum","LC"
"7519","Zanthoxylum gardneri","LC"
"7520","Alseis floribunda","LC"
"7523","Cordia anabaptista","LC"
"7524","Cordia taguahyensis","LC"
"7525","Galipea congestiflora","LC"
"7527","Matayba marginata","LC"
"7530","Erythroxylum deciduum","LC"
"7532","Cariniana rubra","LC"
"7533","Paramachaerium krukovii","CR"
"7534","Muellera tozziana","EN"
"7537","Miconia ligustroides","LC"
"7538","Amaioua intermedia","LC"
"7540","Erythroxylum engleri","LC"
"7541","Erythroxylum subracemosum","LC"
"7543","Machaerium acutifolium","LC"
"7544","Andira cujabensis","LC"
"7545","Byrsonima umbellata","LC"
"7546","Connarus suberosus","LC"
"7548","Eschweilera nana","LC"
"7550","Myrcia vestita","LC"
"7551","Protium ovatum","LC"
"7553","Vellozia squamata","LC"
"7554","Vochysia gardneri","LC"
"7555","Endlicheria lhotzkyi","VU"
"7558","Swartzia discocarpa","EN"
"7559","Bauhinia longipedicellata","LC"
"7560","Eugenia percrenata","VU"
"7562","Remijia ferruginea","LC"
"7564","Qualea ingens","LC"
"7565","Zollernia ilicifolia","LC"
"7566","Aspidosperma polyneuron","EN"
"7573","Nectandra matogrossensis","VU"
"7577","Platymiscium floribundum","LC"
"7579","Callisthene major","LC"
"7581","Myrcia pubipetala","VU"
"7582","Esenbeckia leiocarpa","VU"
"7583","Senna macranthera","LC"
"7584","Zanthoxylum rigidum","LC"
"7585","Nectandra gardneri","LC"
"7587","Pera heteranthera","LC"
"7588","Persea splendens","LC"
"7590","Eugenia francavilleana","LC"
"7592","Stryphnodendron polyphyllum","LC"
"7593","Vochysia pyramidalis","LC"
"7598","Protium brasiliense","LC"
"7600","Guatteria sellowiana","LC"
"7601","Myrsine leuconeura","LC"
"7605","Hevea camargoana","EN"
"7607","Eschweilera subcordata","CR"
"7609","Inga xinguensis","VU"
"7615","Chomelia parviflora","LC"
"7616","Eugenia belemitana","VU"
"7618","Byrsonima hirsuta","EN"
"7619","Machaonia acuminata","LC"
"7628","Pilocarpus carajaensis","EN"
"7631","Pachira tocantina","EN"
"7632","Miconia burchellii","LC"
"7633","Swartzia rugosa","VU"
"7635","Pouteria brevensis","EN"
"7646","Vitex rufescens","LC"
"7651","Swartzia prolata","EN"
"7652","Terminalia phaeocarpa","LC"
"7658","Kielmeyera lathrophyton","LC"
"7659","Leptolobium araguaiense","EN"
"7662","Jacaranda brasiliana","LC"
"7668","Swartzia ingens","VU"
"7670","Licania cymosa","EN"
"7683","Vochysia mapuerae","VU"
"7687","Lacunaria sampaioi","EN"
"7688","Myrciaria glomerata","LC"
"7693","Macrosamanea macrocalyx","VU"
"7697","Cynometra marleneae","EN"
"7698","Swartzia duckei","NT"
"7699","Trichilia blanchetii","EN"
"7702","Gustavia longepetiolata","EN"
"7705","Christiana mennegae","VU"
"7707","Vochysia tucanorum","LC"
"7712","Guatteria oriximinae","LC"
"7714","Gustavia erythrocarpa","VU"
"7716","Parkia platycephala","LC"
"7717","Styrax griseus","NT"
"7722","Senna cana","LC"
"7726","Dimorphandra gardneriana","LC"
"7728","Dimorphandra mollis","LC"
"7729","Annona fosteri","VU"
"7731","Klarobelia lucida","VU"
"7734","Porcelia nitidifolia","LC"
"7735","Senna loretensis","LC"
"7736","Virola multiflora","LC"
"7738","Chrysophyllum revolutum","VU"
"7739","Nectandra yarinensis","EN"
"7744","Castilla elastica","LC"
"7745","Dalbergia simpsonii","VU"
"7749","Abarema macradenia","LC"
"7754","Ilex juttana","LC"
"7761","Nectandra brochidodroma","CR"
"7762","Pouteria lucuma","LC"
"7770","Nectandra pseudocotea","EN"
"7771","Pourouma oraria","VU"
"7772","Calliandra bombycina","LC"
"7773","Diospyros tessmannii","LC"
"7774","Pouteria bonneriana","VU"
"7776","Eugenia micranthoides","VU"
"7777","Guarea casimiriana","VU"
"7780","Miconia beneolens","EN"
"7782","Chrysophyllum scalare","LC"
"7786","Chrysochlamys pavonii","CR"
"7790","Nectandra sordida","VU"
"7793","Malouetia quadricasarum","LC"
"7794","Cordia cicatricosa","VU"
"7795","Malmea cuspidata","VU"
"7799","Pseudoxandra williamsii","VU"
"7800","Guatteria revoluta","EN"
"7801","Humiriastrum colombianum","LC"
"7802","Quararibea velutina","VU"
"7806","Qualea impexa","VU"
"7813","Cymbopetalum sanchezii","EN"
"7814","Eugenia hexovulata","VU"
"7816","Guatteria confusa","LC"
"7818","Macrolobium taylorii","VU"
"7819","Picramnia bullata","VU"
"7821","Swartzia amplifolia","LC"
"7822","Inga longipes","LC"
"7824","Mosannona vasquezii","CR"
"7830","Theobroma sinuosum","LC"
"7831","Trichospermum galeottii","LC"
"7833","Jacqueshuberia loretensis","VU"
"7834","Aniba heterotepala","EN"
"7837","Duguetia nitida","EN"
"7841","Inga gereauana","VU"
"7843","Nectandra heterotricha","EN"
"7849","Cremastosperma peruvianum","VU"
"7850","Duguetia peruviana","EN"
"7851","Myrcia ambivalens","LC"
"7854","Eugenia longicuspis","VU"
"7855","Pouteria sessilis","VU"
"7861","Calliandra magdalenae","LC"
"7862","Citharexylum macrochlamys","LC"
"7866","Meliosma allenii","LC"
"7872","Inga tarapotensis","EN"
"7877","Trichilia ulei","VU"
"7878","Chrysophyllum albipilum","VU"
"7879","Clitoria woytkowskii","VU"
"7882","Inga cynometrifolia","VU"
"7883","Inga pluricarpellata","VU"
"7884","Lecointea ovalifolia","VU"
"7888","Cremastosperma yamayakatense","VU"
"7889","Dussia foxii","VU"
"7893","Browneopsis excelsa","VU"
"7894","Nectandra filiflora","CR"
"7898","Condaminea microcarpa","VU"
"7899","Cremastosperma pendulum","NT"
"7902","Paramachaerium schunkei","VU"
"7908","Quararibea asterolepis","LC"
"7912","Gustavia petiolata","EN"
"7914","Magnolia bankardiorum","VU"
"7918","Ruptiliocarpon caracolito","LC"
"7924","Casearia macrocarpa","VU"
"7933","Tetrameranthus pachycarpus","EN"
"7934","Albizia carbonaria","LC"
"7938","Myrcia crassimarginata","LC"
"7940","Bauhinia longifolia","LC"
"7941","Amyris pinnata","LC"
"7945","Cremastosperma cenepense","EN"
"7949","Guarea cartaguenya","VU"
"7950","Guarea pyriformis","VU"
"7953","Neea huachamacarae","LC"
"7958","Unonopsis asterantha","VU"
"7960","Nectandra cordata","CR"
"7962","Clitoria moyobambensis","VU"
"7963","Dendropanax marginiferus","VU"
"7969","Eugenia discors","VU"
"7975","Pouteria pisquiensis","VU"
"7976","Zanthoxylum albuquerquei","VU"
"7978","Ocotea aurantiodora","LC"
"7979","Parathesis candolleana","LC"
"7982","Magnolia gentryi","EN"
"7983","Peritassa killipii","VU"
"7989","Mauria cuatrecasasii","EN"
"7991","Clusia carinata","VU"
"7993","Godoya antioquiensis","LC"
"7998","Clusia alata","LC"
"7999","Hirtella tubiflora","LC"
"8002","Pradosia argentea","CR"
"8004","Symplocos fuliginosa","LC"
"8006","Weinmannia descendens","VU"
"8008","Ficus gigantosyce","LC"
"8010","Cecropia hispidissima","LC"
"8011","Cymbopetalum schunkei","EN"
"8012","Nectandra hirtella","EN"
"8014","Saurauia yasicae","LC"
"8015","Tournefortia scabrida","LC"
"8021","Aniba robusta","LC"
"8022","Ficus turrialbana","LC"
"8023","Ilex teratopis","LC"
"8026","Oreopanax polycephalus","EN"
"8032","Guatteria cuscoensis","LC"
"8033","Pouteria cinnamomea","CR"
"8034","Acanthosyris asipapote","VU"
"8037","Ladenbergia ferruginea","VU"
"8042","Clethra castaneifolia","LC"
"8045","Euphorbia laurifolia","LC"
"8047","Hedyosmum dombeyanum","LC"
"8057","Nectandra utilis","EN"
"8062","Thibaudia floribunda","LC"
"8068","Aiouea subsessilis","EN"
"8071","Lozanella permollis","LC"
"8074","Graffenrieda trichanthera","VU"
"8076","Inga killipiana","LC"
"8078","Kielmeyera peruviana","VU"
"8081","Oreopanax williamsii","EN"
"8085","Acca lanuginosa","VU"
"8087","Axinaea lanceolata","EN"
"8091","Condaminea glabrata","VU"
"8094","Freziera spathulifolia","EN"
"8099","Guatteria terminalis","LC"
"8104","Meliosma sirensis","VU"
"8106","Miconia brevistylis","VU"
"8116","Palicourea latifolia","VU"
"8117","Podocarpus magnifolius","LC"
"8118","Rudgea ciliata","LC"
"8119","Weinmannia glomerata","VU"
"8120","Weinmannia pubescens","LC"
"8128","Styloceras penninervium","EN"
"8129","Tovomita microcarpa","VU"
"8132","Clusia tarmensis","VU"
"8138","Brunellia brunnea","EN"
"8139","Euterpe luminosa","VU"
"8142","Nectandra herrerae","EN"
"8145","Palicourea consobrina","VU"
"8148","Myrsine rivularis","VU"
"8149","Tovomita weberbaueri","VU"
"8151","Luetzelburgia amazonica","EN"
"8155","Cariniana penduliflora","CR"
"8159","Pilosocereus jauruensis","LC"
"8163","Guapira graciliflora","LC"
"8165","Hymenaea martiana","LC"
"8168","Peltogyne gracilipes","EN"
"8174","Eschweilera roraimensis","VU"
"8176","Blepharandra intermedia","LC"
"8180","Protium araguense","VU"
"8183","Symplocos bogotensis","LC"
"8185","Bursera tomentosa","LC"
"8190","Ilex ptariana","VU"
"8191","Bertiera bracteosa","LC"
"8193","Guatteria aberrans","VU"
"8194","Psidium myrsinites","LC"
"8195","Marila saramaccana","VU"
"8196","Malmea surinamensis","EN"
"8197","Copaifera epunctata","VU"
"8203","Couratari sandwithii","VU"
"8205","Byrsonima surinamensis","EN"
"8206","Macrolobium amplexans","VU"
"8209","Swartzia rediviva","VU"
"8213","Aniba percoriacea","VU"
"8215","Inga leptingoides","VU"
"8216","Persea julianae","VU"
"8221","Macrolobium stenopetalum","VU"
"8222","Myrcia pistrinalis","LC"
"8226","Eugenia megaflora","LC"
"8230","Suriana maritima","LC"
"8231","Muellera tubicalyx","LC"
"8233","Ruprechtia apurensis","VU"
"8235","Croton niveus","LC"
"8240","Neea davidsei","LC"
"8241","Pradosia grisebachii","LC"
"8244","Sterculia abbreviata","LC"
"8249","Bravaisia integerrima","LC"
"8250","Erythrina mitis","LC"
"8253","Damburneya martinicensis","LC"
"8254","Chomelia stergiosii","CR"
"8255","Dilodendron costaricense","LC"
"8257","Chomelia delascioi","CR"
"8260","Pterandra sericea","LC"
"8264","Hirtella confertiflora","EN"
"8266","Macrolobium cataractarum","CR"
"8267","Alexa herminiana","VU"
"8270","Eugenia cuaoensis","EN"
"8273","Dicymbe neblinensis","VU"
"8276","Ouratea multibracteata","CR"
"8277","Swartzia maguirei","LC"
"8279","Tovomita foldatsii","LC"
"8281","Randia amazonasensis","EN"
"8283","Hirtella deflexa","LC"
"8284","Matayba kavanayena","NT"
"8285","Ouratea rotundipetala","CR"
"8286","Recordoxylon pulcherrimum","CR"
"8289","Swartzia triptera","LC"
"8291","Eperua obtusata","LC"
"8292","Pseudoxandra parvifolia","CR"
"8293","Ouratea arbobrevicalyx","VU"
"8294","Rondeletia orinocensis","LC"
"8300","Ocotea liesneri","LC"
"8303","Nectandra fulva","VU"
"8304","Pachira mawarinumae","CR"
"8309","Aspidosperma pichonianum","VU"
"8310","Coussapoa argentea","LC"
"8311","Vismia steyermarkii","LC"
"8312","Licania cruegeriana","LC"
"8314","Trichilia acuminata","VU"
"8315","Swartzia piarensis","VU"
"8316","Andira tervequinata","VU"
"8317","Ilex paujiensis","EN"
"8318","Terminalia guaiquinimae","LC"
"8319","Eperua venosa","LC"
"8321","Pouteria sipapoensis","VU"
"8322","Raveniopsis stelligera","EN"
"8324","Ilex sessilifructa","EN"
"8326","Duroia strigosa","VU"
"8327","Graffenrieda sipapoana","VU"
"8329","Vochysia bautistae","VU"
"8330","Ouratea orisina","CR"
"8333","Clusia cochlitheca","LC"
"8336","Ilex polita","NT"
"8337","Matayba yutajensis","LC"
"8338","Coussarea evoluta","EN"
"8345","Duroia retrorsipila","EN"
"8347","Micropholis venamoensis","VU"
"8353","Ilex steyermarkii","EN"
"8355","Ilex karuaiana","VU"
"8356","Kutchubaea longiloba","LC"
"8360","Aldina aurea","VU"
"8361","Emmotum celiae","EN"
"8363","Ilex magnifructa","EN"
"8364","Ocotea flavantha","VU"
"8365","Ocotea yutajensis","LC"
"8366","Stenopadus cucullatus","EN"
"8367","Stenopadus kunhardtii","LC"
"8369","Schistostemon fernandezii","NT"
"8370","Coussarea lasseri","EN"
"8371","Cyrillopsis micrantha","VU"
"8372","Clusia steyermarkii","EN"
"8374","Neea bernardii","VU"
"8377","Dendrothrix multiglandulosa","VU"
"8378","Meliosma gentryi","LC"
"8382","Dicymbe hymenaea","EN"
"8383","Ilex ciliolata","NT"
"8384","Aldina diplogyne","CR"
"8387","Ilex marahuacae","VU"
"8389","Ocotea laticostata","LC"
"8390","Catostemma marahuacense","VU"
"8392","Ilex brevipedicellata","VU"
"8393","Ilex holstii","VU"
"8396","Jacqueshuberia splendens","CR"
"8397","Styrax neblinae","EN"
"8398","Aldina petiolulata","LC"
"8399","Ilex glabella","VU"
"8402","Raputia neblinensis","VU"
"8408","Campsiandra guayanensis","EN"
"8411","Chomelia caurensis","EN"
"8414","Campsiandra velutina","EN"
"8416","Spongiosperma cataractarum","LC"
"8417","Campsiandra emonensis","EN"
"8419","Campsiandra ferruginea","CR"
"8420","Ecclinusa orinocoensis","VU"
"8421","Campsiandra aymardii","EN"
"8422","Humiriastrum ottohuberi","NT"
"8423","Tachigali dwyeri","EN"
"8425","Tachigali pimichinensis","VU"
"8426","Campsiandra casiquiarensis","EN"
"8427","Campsiandra pasibensis","EN"
"8428","Campsiandra curaara","CR"
"8436","Pagamea anisophylla","VU"
"8437","Qualea wurdackii","LC"
"8439","Macrolobium schinifolium","EN"
"8440","Spongiosperma oleifolium","EN"
"8441","Malouetia grandiflora","EN"
"8445","Ilex psammophila","LC"
"8447","Byrsonima steyermarkii","LC"
"8448","Dulacia tepuiensis","LC"
"8449","Gongylolepis bracteata","LC"
"8450","Hedyosmum gentryi","LC"
"8451","Hedyosmum intermedium","LC"
"8452","Sloanea cavicola","LC"
"8454","Catostemma lemense","LC"
"8455","Cordia cabanayensis","CR"
"8457","Ilex lasseri","CR"
"8458","Manilkara bolivarensis","VU"
"8459","Miconia guaiquinimae","EN"
"8460","Micropholis spectabilis","VU"
"8461","Swartzia wurdackii","VU"
"8463","Vochysia pauciflora","EN"
"8467","Miconia perturbata","LC"
"8468","Myrcia crispa","LC"
"8469","Ocotea erectifolia","LC"
"8471","Tyleria floribunda","LC"
"8474","Bonnetia crassa","LC"
"8475","Byrsonima duidana","EN"
"8477","Ilex tateana","VU"
"8478","Phyllanthus strobilaceus","EN"
"8480","Centronia neblinae","VU"
"8484","Clusia ptaritepuiensis","LC"
"8486","Euplassa chimantensis","LC"
"8487","Panopsis tepuiana","LC"
"8488","Protium ptarianum","LC"
"8490","Amanoa steyermarkii","VU"
"8492","Licaria tomentosa","VU"
"8493","Magnolia chimantensis","CR"
"8495","Neea tepuiensis","LC"
"8497","Aspidosperma glaucum","VU"
"8498","Byrsonima kariniana","LC"
"8499","Calea sipapoana","CR"
"8500","Cybianthus sipapoensis","EN"
"8502","Graffenrieda cinnoides","VU"
"8503","Ilex sipapoana","EN"
"8504","Myrcia sipapensis","EN"
"8510","Vochysia ortegae","VU"
"8512","Ilex abscondita","LC"
"8513","Ilex acutidenticulata","EN"
"8516","Persea croatii","VU"
"8520","Simira ignicola","CR"
"8522","Macrolobium spectabile","CR"
"8523","Ouratea brevicalyx","EN"
"8528","Pachira cowanii","VU"
"8529","Coccoloba llewelynii","VU"
"8531","Ilex ignicola","EN"
"8536","Platycarpum rhododactylum","LC"
"8538","Aldina berryi","VU"
"8540","Ilex guaiquinimae","VU"
"8541","Raputia szczerbanii","LC"
"8542","Swartzia cowanii","VU"
"8544","Clusia fabiolae","LC"
"8547","Ilex huachamacariana","VU"
"8550","Myrcia ptariensis","EN"
"8552","Rhodostemonodaphne steyermarkiana","LC"
"8556","Schoepfia tepuiensis","LC"
"8557","Weinmannia elliptica","LC"
"8559","Clusia radiata","VU"
"8560","Graffenrieda versicolor","LC"
"8562","Miconia aguitensis","VU"
"8565","Styrax guanayanus","VU"
"8566","Ilex parvifructa","EN"
"8567","Neea guaiquinimae","LC"
"8568","Vochysia jonkeri","VU"
"8571","Weinmannia ilutepuiensis","VU"
"8572","Aldina elliptica","VU"
"8573","Bonnetia celiae","VU"
"8574","Clusia phelpsiae","NT"
"8575","Gongylolepis jauaensis","LC"
"8576","Ilex gleasoniana","LC"
"8577","Pagamea jauaensis","LC"
"8580","Eugenia tepuiensis","VU"
"8582","Myrcia salticola","CR"
"8583","Dicymbe yutajensis","VU"
"8584","Graffenrieda kralii","LC"
"8588","Byrsonima baccae","LC"
"8597","Clusia phelpsiana","VU"
"8598","Hesperomeles obtusifolia","LC"
"8599","Licania tepuiensis","EN"
"8600","Miconia iluensis","VU"
"8601","Myrsine picturata","NT"
"8602","Bonnetia wurdackii","LC"
"8604","Cybianthus steyermarkianus","LC"
"8605","Ilex venezuelensis","LC"
"8606","Macairea chimantensis","LC"
"8607","Ocotea julianii","LC"
"8609","Stenopadus chimantensis","LC"
"8610","Symplocos chimantensis","VU"
"8612","Diacidia kunhardtii","LC"
"8613","Myrcia compta","CR"
"8614","Piptocoma areolata","CR"
"8615","Pterandra flavescens","LC"
"8619","Cybianthus breweri","NT"
"8620","Graffenrieda jauana","VU"
"8621","Ilex jauaensis","LC"
"8622","Palicourea jauaensis","LC"
"8623","Prunus espinozana","VU"
"8629","Sloanea carrenoi","VU"
"8630","Daphnopsis nevlingiana","VU"
"8631","Diacidia steyermarkii","VU"
"8634","Byrsonima macrostachya","LC"
"8635","Diacidia ferruginea","LC"
"8636","Diacidia vestita","LC"
"8638","Graffenrieda tricalcarata","VU"
"8639","Miconia steyermarkii","LC"
"8641","Ocotea cowaniana","LC"
"8642","Pagamea diceras","LC"
"8645","Sterigmapetalum chrysophyllum","NT"
"8646","Tyleria spathulata","LC"
"8647","Cybianthus agostinianus","NT"
"8650","Ilex cowanii","VU"
"8651","Myrsine macrocarpa","VU"
"8653","Stenopadus huachamacari","EN"
"8655","Diacidia hypoleuca","CR"
"8656","Emmotum yapacanum","CR"
"8657","Tepuianthus yapacanensis","CR"
"8663","Neotatea duidae","LC"
"8664","Ocotea revoluta","LC"
"8665","Ocotea venosa","LC"
"8667","Ternstroemia maguirei","EN"
"8668","Humiriastrum liesneri","LC"
"8669","Ilex aracamuniana","EN"
"8670","Pachira aracamuniana","VU"
"8671","Remijia aracamuniensis","VU"
"8672","Byrsonima maguirei","LC"
"8674","Myrsine perpauciflora","VU"
"8675","Stenopadus obconicus","VU"
"8676","Tyleria spectabilis","LC"
"8677","Cordia dentata","LC"
"8678","Luehea candida","LC"
"8679","Quadrella odoratissima","LC"
"8680","Uladendron codesuri","CR"
"8681","Chloroleucon eurycyclum","VU"
"8683","Lonchocarpus crassispermus","VU"
"8685","Ecclinusa parviflora","VU"
"8687","Sloanea cataniapensis","CR"
"8688","Croton megalodendron","LC"
"8689","Annona purpurea","LC"
"8690","Bourreria bolivarensis","NT"
"8692","Machaerium arboreum","LC"
"8693","Talisia laevigata","EN"
"8694","Malouetia parvifolia","VU"
"8696","Ouratea subamplexicaulis","EN"
"8698","Achatocarpus praecox","LC"
"8701","Amburana cearensis","EN"
"8702","Anadenanthera colubrina","LC"
"8704","Annona emarginata","LC"
"8709","Cascaronia astragalina","LC"
"8711","Celtis chichape","LC"
"8712","Celtis ehrenbergiana","LC"
"8713","Cestrum parqui","LC"
"8714","Chrysophyllum marginatum","LC"
"8716","Coccoloba tiliacea","VU"
"8722","Eugenia repanda","LC"
"8726","Jacaranda mimosifolia","VU"
"8734","Parapiptadenia excelsa","LC"
"8735","Parodiodendron marginivillosum","VU"
"8736","Phyllostylon rhamnoides","LC"
"8737","Poissonia hypoleuca","VU"
"8739","Ruprechtia laxiflora","LC"
"8742","Schinus molle","LC"
"8743","Scutia buxifolia","LC"
"8744","Senna corymbosa","LC"
"8745","Tecoma stans","LC"
"8746","Terminalia triflora","LC"
"8747","Tipuana tipu","LC"
"8751","Vassobia breviflora","LC"
"8754","Zapoteca formosa","LC"
"8759","Cnicothamnus lorentzii","LC"
"8764","Loxopterygium grisebachii","VU"
"8769","Tecoma tenuiflora","LC"
"8772","Vachellia albicorticata","LC"
"8774","Zanthoxylum coco","LC"
"8776","Cnidoscolus tubulosus","LC"
"8779","Myrcianthes callicoma","VU"
"8780","Myrrhinium atropurpureum","LC"
"8784","Vachellia macracantha","LC"
"8785","Annona nutans","LC"
"8786","Athyana weinmanniifolia","VU"
"8790","Cochlospermum tetraporum","EN"
"8793","Libidibia paraguariensis","VU"
"8794","Myroxylon peruiferum","LC"
"8798","Senegalia etilis","VU"
"8801","Geoffroea decorticans","LC"
"8802","Pereskia sacharosa","LC"
"8803","Prosopis chilensis","LC"
"8809","Dinoseris salicifolia","LC"
"8810","Dunalia brachyacantha","LC"
"8811","Duranta serratifolia","LC"
"8812","Escallonia hypoglauca","LC"
"8813","Escallonia millegrana","LC"
"8814","Gochnatia palosanto","LC"
"8815","Handroanthus lapacho","VU"
"8817","Kageneckia lanceolata","VU"
"8822","Podocarpus parlatorei","NT"
"8825","Schaefferia argentinensis","LC"
"8827","Weinmannia boliviensis","NT"
"8828","Schinus meyeri","VU"
"8831","Acaciella angustissima","LC"
"8835","Cercidium andicola","LC"
"8836","Cereus hankeanus","LC"
"8841","Mauria thaumatophylla","LC"
"8842","Morella chevalieri","LC"
"8844","Polylepis hieronymi","VU"
"8847","Solanum aligerum","LC"
"8849","Vallesia glabra","LC"
"8854","Saxegothaea conspicua","NT"
"8858","Annona rugulosa","LC"
"8859","Cereus aethiops","LC"
"8862","Citharexylum joergensenii","VU"
"8865","Cestrum bracteatum","LC"
"8867","Prosopis flexuosa","LC"
"8873","Banara tomentosa","LC"
"8874","Ixora brevifolia","LC"
"8875","Aegiphila multiflora","LC"
"8883","Cornus peruviana","LC"
"8887","Ficus cervantesiana","LC"
"8889","Gaultheria bracteata","LC"
"8891","Ilex goudotii","LC"
"8892","Ilex myricoides","LC"
"8899","Myrcianthes myrsinoides","LC"
"8904","Ocotea comata","VU"
"8909","Podocarpus rusbyi","VU"
"8917","Symplocos fimbriata","LC"
"8918","Weinmannia crassifolia","LC"
"8919","Weinmannia lechleriana","LC"
"8920","Weinmannia multijuga","LC"
"8932","Gynoxys baccharoides","VU"
"8933","Ilex aggregata","LC"
"8938","Podocarpus glomeratus","NT"
"8939","Prumnopitys harmsiana","NT"
"8946","Weinmannia haenkeana","LC"
"8947","Weinmannia reticulata","LC"
"8949","Zinowiewia australis","LC"
"8952","Cinchona macrocalyx","LC"
"8956","Freziera inaequilatera","CR"
"8962","Myrsine dependens","LC"
"8965","Prunus integrifolia","LC"
"8966","Ruagea hirsuta","LC"
"8971","Weinmannia ovata","LC"
"8972","Weinmannia trianaea","LC"
"8977","Freziera subintegrifolia","CR"
"8978","Guettarda tournefortiopsis","LC"
"8979","Hedyosmum lechleri","LC"
"8980","Ilex hualgayoca","LC"
"8984","Persea subcordata","LC"
"8986","Symplocos robusta","EN"
"8988","Inga pallida","VU"
"8991","Palicourea heterochroma","LC"
"8993","Abarema centiflora","VU"
"8995","Inga approximata","VU"
"8997","Prumnopitys exigua","NT"
"8998","Azara salicifolia","LC"
"8999","Hedyosmum scabrum","LC"
"9000","Ilex andicola","LC"
"9004","Saracha punctata","LC"
"9006","Parajubaea torallyi","EN"
"9010","Baccharis buchtienii","LC"
"9011","Baccharis papillosa","LC"
"9012","Barnadesia polyacantha","LC"
"9019","Desfontainia spinosa","LC"
"9023","Hesperomeles cuneata","LC"
"9024","Hesperomeles ferruginea","LC"
"9025","Maytenus boaria","LC"
"9028","Miconia latifolia","LC"
"9029","Mimosa revoluta","LC"
"9031","Myrsine pearcei","VU"
"9035","Oreopanax thaumasiophyllus","EN"
"9036","Persea ruizii","VU"
"9038","Polylepis pepei","VU"
"9039","Polylepis racemosa","VU"
"9041","Symplocos quitensis","LC"
"9045","Berberis lutea","LC"
"9046","Buddleja americana","LC"
"9047","Buddleja incana","LC"
"9049","Clethra fimbriata","LC"
"9051","Miconia setulosa","VU"
"9057","Weinmannia yungasensis","VU"
"9058","Acca macrostema","EN"
"9065","Hedyosmum maximum","VU"
"9066","Luma chequen","LC"
"9073","Weinmannia lentiscifolia","LC"
"9076","Maytenus verticillata","LC"
"9078","Polylepis neglecta","VU"
"9083","Gynoxys compressissima","VU"
"9086","Miconia recondita","VU"
"9087","Myrcianthes oreophila","VU"
"9089","Oreopanax ruizii","EN"
"9092","Polylepis pauta","VU"
"9101","Nectandra apiculata","VU"
"9107","Bougainvillea modesta","LC"
"9109","Capparidastrum coimbranum","LC"
"9110","Ceiba boliviana","LC"
"9113","Luetzelburgia andina","VU"
"9115","Pereskia weberiana","LC"
"9116","Piptadenia flava","LC"
"9117","Schinopsis brasiliensis","LC"
"9120","Tabernaemontana glabra","LC"
"9123","Astrocasia jacobinensis","LC"
"9124","Cereus stenogonus","LC"
"9125","Cereus trigonodendron","LC"
"9126","Cleistocactus parviflorus","LC"
"9129","Llagunoa nitida","LC"
"9130","Neoraimondia herzogiana","LC"
"9132","Austrocylindropuntia subulata","LC"
"9138","Machaerium millei","LC"
"9142","Senna pistaciifolia","LC"
"9143","Zanthoxylum schreberi","LC"
"9155","Atamisquea emarginata","LC"
"9157","Espostoa guentheri","NT"
"9158","Harrisia tetracantha","LC"
"9163","Prosopis kuntzei","LC"
"9165","Quiabentia verticillata","LC"
"9167","Senegalia gilliesii","LC"
"9168","Stetsonia coryne","LC"
"9170","Vachellia caven","LC"
"9172","Parkinsonia praecox","LC"
"9175","Samaipaticereus corroanus","LC"
"9180","Jodina rhombifolia","LC"
"9181","Porlieria microphylla","LC"
"9184","Senegalia praecox","LC"
"9192","Cantua buxifolia","LC"
"9196","Eugenia boliviana","VU"
"9199","Nectandra megapotamica","LC"
"9200","Eugenia myrcianthes","LC"
"9205","Lonchocarpus neei","VU"
"9210","Guettarda uruguensis","LC"
"9213","Parajubaea sunkha","EN"
"9218","Caryocar brasiliense","LC"
"9220","Hymenaea stigonocarpa","LC"
"9224","Diptychandra aurantiaca","LC"
"9228","Mimosa hexandra","LC"
"9229","Axinaea scutigera","LC"
"9231","Cestrum tomentosum","LC"
"9233","Clusia inesiana","LC"
"9235","Cremastosperma dolichocarpum","EN"
"9237","Dichapetalum axillare","LC"
"9239","Ficus hartwegii","LC"
"9240","Hampea thespesioides","LC"
"9242","Inga interfluminensis","EN"
"9243","Inga sierrae","LC"
"9245","Magnolia hernandezii","EN"
"9246","Metteniusa cogolloi","LC"
"9247","Miconia caudata","LC"
"9250","Ocotea valerioana","LC"
"9251","Oreopanax trianae","VU"
"9252","Pachira speciosa","LC"
"9255","Persea cuneata","LC"
"9256","Podocarpus oleifolius","LC"
"9257","Pouteria espinae","LC"
"9260","Xylosma obovata","VU"
"9261","Zanthoxylum melanostictum","LC"
"9262","Aegiphila lehmannii","LC"
"9263","Aegiphila truncata","LC"
"9264","Aiphanes hirsuta","LC"
"9265","Ardisia cogolloi","LC"
"9266","Ardisia mcphersonii","LC"
"9268","Brunellia trianae","LC"
"9269","Calliandra pittieri","LC"
"9271","Cecropia obtusifolia","LC"
"9276","Coussapoa parviceps","LC"
"9279","Dendropanax macrophyllus","LC"
"9280","Faramea calophylla","LC"
